date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2023-11-30,Nigeria,Namibia,"Wanderers Cricket Ground, Windhoek",Nigeria,bat,T20,2023/24,Namibia
2023-12-01,India,Australia,"Shaheed Veer Narayan Singh International Stadium, Raipur",Australia,field,T20,2023/24,India
2023-12-03,India,Australia,"M Chinnaswamy Stadium, Bengaluru",Australia,field,T20,2023/24,India
2023-12-07,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2023/24,Zimbabwe
2023-12-09,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,T20,2023/24,Ireland
2023-12-10,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,T20,2023/24,Ireland
2023-12-12,England,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,T20,2023/24,West Indies
2023-12-12,India,South Africa,"St George's Park, Gqeberha",South Africa,field,T20,2023/24,South Africa
2023-12-14,West Indies,England,"National Cricket Stadium, St George's, Grenada",England,field,T20,2023/24,West Indies
2023-12-14,India,South Africa,"The Wanderers Stadium, Johannesburg",South Africa,field,T20,2023/24,India
2023-12-16,West Indies,England,"National Cricket Stadium, St George's, Grenada",England,field,T20,2023/24,England
2023-12-19,England,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,T20,2023/24,England
2023-12-21,England,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,T20,2023/24,West Indies
2023-12-22,Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2023/24,Philippines
2023-12-23,Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2023/24,Indonesia
2023-12-23,Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,T20,2023/24,Indonesia
2023-12-24,Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2023/24,No Result
2023-12-24,Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,T20,2023/24,Philippines
2023-12-26,Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,T20,2023/24,Philippines
2023-12-27,New Zealand,Bangladesh,"McLean Park, Napier",Bangladesh,field,T20,2023/24,Bangladesh
2023-12-29,New Zealand,Bangladesh,"Bay Oval, Mount Maunganui",Bangladesh,field,T20,2023/24,No Result
2023-12-29,Afghanistan,United Arab Emirates,nistan in United Arab Emirates T20I Series 2023 1st T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 1ST Sharjah Cricket Stadium,,,T20,2023,Afghanistan
2023-12-31,Bangladesh,New Zealand,"Bay Oval, Mount Maunganui",New Zealand,field,T20,2023/24,New Zealand
2023-12-31,United Arab Emirates,Afghanistan,nistan in United Arab Emirates T20I Series 2023 2nd T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 2ND Sharjah Cricket Stadium,,,T20,2023,United Arab Emirates
2024-01-02,United Arab Emirates,Afghanistan,nistan in United Arab Emirates T20I Series 2023 3rd T20I (D/N) -Afghanistan in United Arab Emirates T20I Series 2023 T20I 3RD Sharjah Cricket Stadium,,,T20,2024,Afghanistan
2024-01-11,Afghanistan,India,"India T20I Series 2024 1st T20I (N) -Afghanistan in India T20I Series 2024 T20I 1ST Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,T20,2024,India
2024-01-12,New Zealand,Pakistan,"Eden Park, Auckland",Pakistan,field,T20,2023/24,New Zealand
2024-01-14,New Zealand,Pakistan,"Seddon Park, Hamilton",Pakistan,field,T20,2023/24,New Zealand
2024-01-14,Afghanistan,India,"ies / 2nd T20I (N) -Afghanistan in India T20I Series 2024 2nd T20I (N) -Afghanistan in India T20I Series 2024 T20I 2ND Holkar Cricket Stadium, Indore",,,T20,2024,India
2024-01-14,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,T20,2023/24,Sri Lanka
2024-01-16,Sri Lanka,Zimbabwe,"R Premadasa Stadium, Colombo",Zimbabwe,field,T20,2023/24,Zimbabwe
2024-01-17,New Zealand,Pakistan,"University Oval, Dunedin",Pakistan,field,T20,2023/24,New Zealand
2024-01-17,India,Afghanistan,"s / 3rd T20I (N) -Afghanistan in India T20I Series 2024 3rd T20I (N) -Afghanistan in India T20I Series 2024 T20I 3RD M Chinnaswamy Stadium, Bengaluru",,,T20,2024,India
2024-01-18,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,T20,2023/24,Sri Lanka
2024-01-19,Pakistan,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,T20,2023/24,New Zealand
2024-01-21,Pakistan,New Zealand,"Hagley Oval, Christchurch",Pakistan,bat,T20,2023/24,Pakistan
2024-01-27,Myanmar,Cambodia,"Terdthai Cricket Ground, Bangkok",Cambodia,field,T20,2023/24,Cambodia
2024-01-28,Cambodia,China,"Terdthai Cricket Ground, Bangkok",Cambodia,bat,T20,2023/24,Cambodia
2024-02-01,Indonesia,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,T20,2023/24,Indonesia
2024-02-02,Japan,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,T20,2023/24,Japan
2024-02-02,Singapore,Maldives,"Terdthai Cricket Ground, Bangkok",Singapore,bat,T20,2023/24,Singapore
2024-02-03,Bhutan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,T20,2023/24,Saudi Arabia
2024-02-03,Indonesia,Cambodia,"Terdthai Cricket Ground, Bangkok",Indonesia,bat,T20,2023/24,Cambodia
2024-02-04,Singapore,Thailand,"Terdthai Cricket Ground, Bangkok",Singapore,bat,T20,2023/24,Thailand
2024-02-04,Japan,Maldives,"Terdthai Cricket Ground, Bangkok",Japan,bat,T20,2023/24,Japan
2024-02-05,Saudi Arabia,Indonesia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,T20,2023/24,Saudi Arabia
2024-02-06,Maldives,Thailand,"Terdthai Cricket Ground, Bangkok",Maldives,bat,T20,2023/24,Thailand
2024-02-06,Singapore,Japan,"Terdthai Cricket Ground, Bangkok",Japan,field,T20,2023/24,Singapore
2024-02-07,Indonesia,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,T20,2023/24,Thailand
2024-02-07,Maldives,Bhutan,"Terdthai Cricket Ground, Bangkok",Maldives,bat,T20,2023/24,Maldives
2024-02-09,Australia,West Indies,"Bellerive Oval, Hobart",West Indies,field,T20,2023/24,Australia
2024-02-09,Japan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,T20,2023/24,Saudi Arabia
2024-02-09,Singapore,Cambodia,"Terdthai Cricket Ground, Bangkok",Singapore,bat,T20,2023/24,Cambodia
2024-02-11,Australia,West Indies,Adelaide Oval,West Indies,field,T20,2023/24,Australia
2024-02-11,Japan,Singapore,"Terdthai Cricket Ground, Bangkok",Singapore,field,T20,2023/24,Singapore
2024-02-11,Cambodia,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,T20,2023/24,Saudi Arabia
